statement_id,account_id,custodian,period_start,period_end,ending_value,beginning_value,stated_deposits,stated_withdrawals,stated_income,stated_fees,stated_pnl,stated_return_pct,source_file,source_pages,notes
VALINOR_2017-09,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-09-01,2017-09-30,1153014.83,,,,,,,,hedge13f,,priced coverage 80%
VALINOR_2017-10,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-10-01,2017-10-31,1185369.28,,,,,,,,hedge13f,,priced coverage 80%
VALINOR_2017-11,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-11-01,2017-11-30,1217125.07,,,,,,,,hedge13f,,priced coverage 80%
VALINOR_2017-12,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-12-01,2017-12-31,1216711.72,,,,,,,,hedge13f,,priced coverage 74%
VALINOR_2018-01,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-01-01,2018-01-31,1253199.35,,,,,,,,hedge13f,,priced coverage 74%
VALINOR_2018-02,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-02-01,2018-02-28,1210253.34,,,,,,,,hedge13f,,priced coverage 74%
VALINOR_2018-03,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-03-01,2018-03-31,1179496.6,,,,,,,,hedge13f,,priced coverage 71%
VALINOR_2018-04,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-04-01,2018-04-30,1205990.19,,,,,,,,hedge13f,,priced coverage 71%
VALINOR_2018-05,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-05-01,2018-05-31,1238651.92,,,,,,,,hedge13f,,priced coverage 71%
VALINOR_2018-06,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-06-01,2018-06-30,1236123.32,,,,,,,,hedge13f,,priced coverage 72%
VALINOR_2018-07,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-07-01,2018-07-31,1231758.54,,,,,,,,hedge13f,,priced coverage 72%
VALINOR_2018-08,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-08-01,2018-08-31,1264369.94,,,,,,,,hedge13f,,priced coverage 72%
VALINOR_2018-09,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-09-01,2018-09-30,1256953.14,,,,,,,,hedge13f,,priced coverage 78%
VALINOR_2018-10,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-10-01,2018-10-31,1115835.81,,,,,,,,hedge13f,,priced coverage 78%
VALINOR_2018-11,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-11-01,2018-11-30,1103252.94,,,,,,,,hedge13f,,priced coverage 78%
VALINOR_2018-12,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-12-01,2018-12-31,1028094.05,,,,,,,,hedge13f,,priced coverage 79%
VALINOR_2019-01,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-01-01,2019-01-31,1149710.36,,,,,,,,hedge13f,,priced coverage 79%
VALINOR_2019-02,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-02-01,2019-02-28,1208446.49,,,,,,,,hedge13f,,priced coverage 79%
VALINOR_2019-03,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-03-01,2019-03-31,1273824.77,,,,,,,,hedge13f,,priced coverage 83%
VALINOR_2019-04,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-04-01,2019-04-30,1338111.59,,,,,,,,hedge13f,,priced coverage 83%
VALINOR_2019-05,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-05-01,2019-05-31,1216402.46,,,,,,,,hedge13f,,priced coverage 83%
VALINOR_2019-06,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-06-01,2019-06-30,1300950.76,,,,,,,,hedge13f,,priced coverage 90%
VALINOR_2019-07,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-07-01,2019-07-31,1254660.04,,,,,,,,hedge13f,,priced coverage 90%
VALINOR_2019-08,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-08-01,2019-08-31,1219074.87,,,,,,,,hedge13f,,priced coverage 90%
VALINOR_2019-09,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-09-01,2019-09-30,1205386.61,,,,,,,,hedge13f,,priced coverage 88%
VALINOR_2019-10,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-10-01,2019-10-31,1241154.92,,,,,,,,hedge13f,,priced coverage 88%
VALINOR_2019-11,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-11-01,2019-11-30,1333327.94,,,,,,,,hedge13f,,priced coverage 88%
VALINOR_2019-12,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2019-12-01,2019-12-31,1338588.64,,,,,,,,hedge13f,,priced coverage 82%
VALINOR_2020-01,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-01-01,2020-01-31,1390875.48,,,,,,,,hedge13f,,priced coverage 82%
VALINOR_2020-02,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-02-01,2020-02-29,1290800.04,,,,,,,,hedge13f,,priced coverage 82%
VALINOR_2020-03,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-03-01,2020-03-31,1024582.79,,,,,,,,hedge13f,,priced coverage 84%
VALINOR_2020-04,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-04-01,2020-04-30,1176008.62,,,,,,,,hedge13f,,priced coverage 84%
VALINOR_2020-05,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-05-01,2020-05-31,1334365.31,,,,,,,,hedge13f,,priced coverage 84%
VALINOR_2020-06,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-06-01,2020-06-30,1402928.13,,,,,,,,hedge13f,,priced coverage 91%
VALINOR_2020-07,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-07-01,2020-07-31,1469835.83,,,,,,,,hedge13f,,priced coverage 91%
VALINOR_2020-08,VALINOR,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-08-01,2020-08-31,1585742.81,,,,,,,,hedge13f,,priced coverage 91%
