ticker,sector,industry,market_cap
CAI,Healthcare,Biotechnology,7892445184
CAKE,Consumer Cyclical,Restaurants,4823049216
CAR,Industrials,Rental & Leasing Services,4221427456
CARG,Communication Services,Internet Content & Information,3114899712
CARR,Industrials,Building Products & Equipment,45428555776
CARS,Communication Services,Internet Content & Information,627403392
CART,Consumer Cyclical,Internet Retail,10986992640
CASY,Consumer Cyclical,Specialty Retail,21977624576
CAT,Industrials,Farm & Heavy Construction Machinery,359465746432
CB,Financial Services,Insurance - Property & Casualty,131698573312
CBOE,Financial Services,Financial Data & Stock Exchanges,28840192000
CBRE,Real Estate,Real Estate Services,40517373952
CBRL,Consumer Cyclical,Restaurants,1024143872
CBRS,Technology,Semiconductors,43628634112
CC,Basic Materials,Specialty Chemicals,2207067648
CCC,Technology,Software - Application,3943319552
CCI,Real Estate,REIT - Specialty,31564511232
CCJ,Energy,Uranium,39820783616
CCK,Consumer Cyclical,Packaging & Containers,12180361216
CCL,Consumer Cyclical,Travel Services,30289790976
CCO,Communication Services,Advertising Agencies,1214188800
CCZ,,,
CDNS,Technology,Software - Application,75719303168
CDW,Technology,Information Technology Services,19003897856
CE,Basic Materials,Chemicals,5077534208
CEG,Utilities,Utilities - Independent Power Producers,92406906880
CELH,Consumer Defensive,Beverages - Non-Alcoholic,7024935936
CF,Basic Materials,Agricultural Inputs,20503289856
CFG,Financial Services,Banks - Regional,29410777088
CFLT,,,
CG,Financial Services,Asset Management,14552631296
CHD,Consumer Defensive,Household & Personal Products,22381375488
CHGG,Consumer Defensive,Education & Training Services,83326128
CHH,Consumer Cyclical,Lodging,4493589504
CHRS,Healthcare,Biotechnology,205486288
CHRW,Industrials,Integrated Freight & Logistics,18308253696
CHTR,Communication Services,Telecom Services,19114022912
CHWY,Consumer Cyclical,Internet Retail,8510809600
CHYM,Technology,Software - Application,12601205760
CI,Healthcare,Healthcare Plans,76609921024
CIEN,Technology,Communication Equipment,47010947072
CIGI,Real Estate,Real Estate Services,4712538624
