statement_id,account_id,custodian,period_start,period_end,ending_value,beginning_value,stated_deposits,stated_withdrawals,stated_income,stated_fees,stated_pnl,stated_return_pct,source_file,source_pages,notes
HIGHFIELDS_2014-08,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-08-01,2014-08-31,1228039.64,,,,,,,,hedge13f,,priced coverage 72%
HIGHFIELDS_2014-09,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-09-01,2014-09-30,1209199.66,,,,,,,,hedge13f,,priced coverage 66%
HIGHFIELDS_2014-10,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-10-01,2014-10-31,1227826.87,,,,,,,,hedge13f,,priced coverage 66%
HIGHFIELDS_2014-11,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-11-01,2014-11-30,1265770.01,,,,,,,,hedge13f,,priced coverage 66%
HIGHFIELDS_2014-12,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2014-12-01,2014-12-31,1246448.31,,,,,,,,hedge13f,,priced coverage 60%
HIGHFIELDS_2015-01,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-01-01,2015-01-31,1180460.77,,,,,,,,hedge13f,,priced coverage 60%
HIGHFIELDS_2015-02,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-02-01,2015-02-28,1266870.8,,,,,,,,hedge13f,,priced coverage 60%
HIGHFIELDS_2015-03,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-03-01,2015-03-31,1255789.94,,,,,,,,hedge13f,,priced coverage 65%
HIGHFIELDS_2015-04,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-04-01,2015-04-30,1268036.84,,,,,,,,hedge13f,,priced coverage 65%
HIGHFIELDS_2015-05,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-05-01,2015-05-31,1279632.35,,,,,,,,hedge13f,,priced coverage 65%
HIGHFIELDS_2015-06,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-06-01,2015-06-30,1227792.75,,,,,,,,hedge13f,,priced coverage 68%
HIGHFIELDS_2015-07,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-07-01,2015-07-31,1244492.32,,,,,,,,hedge13f,,priced coverage 68%
HIGHFIELDS_2015-08,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-08-01,2015-08-31,1175356.49,,,,,,,,hedge13f,,priced coverage 68%
HIGHFIELDS_2015-09,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-09-01,2015-09-30,1118048.84,,,,,,,,hedge13f,,priced coverage 68%
HIGHFIELDS_2015-10,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-10-01,2015-10-31,1225063.49,,,,,,,,hedge13f,,priced coverage 68%
HIGHFIELDS_2015-11,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-11-01,2015-11-30,1248431.6,,,,,,,,hedge13f,,priced coverage 68%
HIGHFIELDS_2015-12,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2015-12-01,2015-12-31,1228512.77,,,,,,,,hedge13f,,priced coverage 78%
HIGHFIELDS_2016-01,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-01-01,2016-01-31,1194337.58,,,,,,,,hedge13f,,priced coverage 78%
HIGHFIELDS_2016-02,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-02-01,2016-02-29,1160632.42,,,,,,,,hedge13f,,priced coverage 78%
HIGHFIELDS_2016-03,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-03-01,2016-03-31,1235409.82,,,,,,,,hedge13f,,priced coverage 70%
HIGHFIELDS_2016-04,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-04-01,2016-04-30,1230214.45,,,,,,,,hedge13f,,priced coverage 70%
HIGHFIELDS_2016-05,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-05-01,2016-05-31,1261392.01,,,,,,,,hedge13f,,priced coverage 70%
HIGHFIELDS_2016-06,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-06-01,2016-06-30,1237296.89,,,,,,,,hedge13f,,priced coverage 68%
HIGHFIELDS_2016-07,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-07-01,2016-07-31,1299021.87,,,,,,,,hedge13f,,priced coverage 68%
HIGHFIELDS_2016-08,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-08-01,2016-08-31,1295567.03,,,,,,,,hedge13f,,priced coverage 68%
HIGHFIELDS_2016-09,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-09-01,2016-09-30,1290573.63,,,,,,,,hedge13f,,priced coverage 71%
HIGHFIELDS_2016-10,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-10-01,2016-10-31,1273442.45,,,,,,,,hedge13f,,priced coverage 71%
HIGHFIELDS_2016-11,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-11-01,2016-11-30,1308883.28,,,,,,,,hedge13f,,priced coverage 71%
HIGHFIELDS_2016-12,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2016-12-01,2016-12-31,1344343.72,,,,,,,,hedge13f,,priced coverage 72%
HIGHFIELDS_2017-01,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-01-01,2017-01-31,1370587.98,,,,,,,,hedge13f,,priced coverage 72%
HIGHFIELDS_2017-02,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-02-01,2017-02-28,1405415.15,,,,,,,,hedge13f,,priced coverage 72%
HIGHFIELDS_2017-03,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-03-01,2017-03-31,1431618.76,,,,,,,,hedge13f,,priced coverage 75%
HIGHFIELDS_2017-04,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-04-01,2017-04-30,1461476.36,,,,,,,,hedge13f,,priced coverage 75%
HIGHFIELDS_2017-05,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-05-01,2017-05-31,1506690.33,,,,,,,,hedge13f,,priced coverage 75%
HIGHFIELDS_2017-06,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-06-01,2017-06-30,1543195.61,,,,,,,,hedge13f,,priced coverage 72%
HIGHFIELDS_2017-07,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-07-01,2017-07-31,1565907.5,,,,,,,,hedge13f,,priced coverage 72%
HIGHFIELDS_2017-08,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-08-01,2017-08-31,1501082.36,,,,,,,,hedge13f,,priced coverage 72%
HIGHFIELDS_2017-09,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-09-01,2017-09-30,1571825.19,,,,,,,,hedge13f,,priced coverage 67%
HIGHFIELDS_2017-10,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-10-01,2017-10-31,1542233.44,,,,,,,,hedge13f,,priced coverage 67%
HIGHFIELDS_2017-11,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-11-01,2017-11-30,1592196.61,,,,,,,,hedge13f,,priced coverage 67%
HIGHFIELDS_2017-12,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2017-12-01,2017-12-31,1671074.8,,,,,,,,hedge13f,,priced coverage 68%
HIGHFIELDS_2018-01,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-01-01,2018-01-31,1789441.86,,,,,,,,hedge13f,,priced coverage 68%
HIGHFIELDS_2018-02,HIGHFIELDS,Disclosed holdings (SEC EDGAR + Yahoo Finance),2018-02-01,2018-02-28,1663993.47,,,,,,,,hedge13f,,priced coverage 68%
