key,name,manager,style,kind,months,first,last,alpha,se,t,resid_vol,beta,smb,hml,shrink_factor,alpha_shrunk,tau,prior_mean,ir_raw,ir_shrunk,alpha_eb,weight_optimised,weight_top10
berkshire-13f,Berkshire Hathaway (disclosed holdings),Warren Buffett,Concentrated long / value,fund,154,2013-10,2026-07,-0.023455934246284796,0.017904519601991818,-1.3100566095990314,0.07343296480448844,1.0183452129310078,-0.11827630622992696,0.205367833997961,0.5551146848774902,-0.015683213010078946,0.02,-0.005984642270586649,-0.3194196817292484,-0.2135718345546133,-0.005984642270586649,0.0,0.0
pershing-square,Pershing Square,Bill Ackman,Activist,fund,136,2015-04,2026-07,-0.047390252955586666,0.033406862292907076,-1.4185783908729597,0.12202457961973959,1.032518326246222,0.06195976998831643,-0.011834898469078134,0.2638490319559245,-0.016909472567367786,0.02,-0.005984642270586649,-0.38836645127782493,-0.13857431527371053,-0.005984642270586649,0.0,0.0
harris,Harris Associates (Oakmark),Bill Nygren,Concentrated long / value,fund,154,2013-10,2026-07,-0.026301112180888944,0.018036349468333383,-1.4582281313114993,0.0776142856373505,1.1937134153510995,0.0792294446426509,0.41215292443410645,0.5514884035330162,-0.01718893982684582,0.02,-0.005984642270586649,-0.3388694744132516,-0.22146618609827093,-0.005984642270586649,0.0,0.0
baupost,Baupost Group,Seth Klarman,Concentrated long / value,fund,85,2019-07,2026-07,-0.07247898183576211,0.042206040990196696,-1.7172655888903912,0.10225154172734208,1.0779661230830553,0.48979588223518356,0.31786531734852946,0.18337269079176988,-0.01817788823907452,0.02,-0.005984642270586649,-0.7088302103945805,-0.17777617757145026,-0.005984642270586649,0.0,0.0
steadfast,Steadfast Capital,Robert Pitts,Long/short equity,fund,133,2015-07,2026-07,-0.042805635339533354,0.027301136610650367,-1.5679067120903156,0.07655424692010865,1.11054941925357,0.17316986237391863,-0.057798084272870275,0.34923759592180775,-0.01884391736943914,0.02,-0.005984642270586649,-0.5591542868184041,-0.2461511689757002,-0.005984642270586649,0.0,0.0
giverny,Giverny Capital,François Rochon,Concentrated long / value,fund,133,2015-07,2026-07,-0.02945287655369621,0.017670380335318592,-1.666793583091554,0.06466093521844561,0.9872580028727456,0.07387030033791657,0.1996451535666871,0.5616066005413053,-0.019164557547030725,0.02,-0.005984642270586649,-0.45549722493488287,-0.2963854061542202,-0.005984642270586649,0.0,0.0
tweedy-browne,"Tweedy, Browne","Tweedy, Browne partners",Concentrated long / value,fund,154,2013-10,2026-07,-0.02942170557674941,0.017184235047636207,-1.7121335628376744,0.061284501826143846,0.8818152509044533,-0.08599268815066603,0.3029160092143126,0.5752929504617434,-0.01946781957014769,0.02,-0.005984642270586649,-0.48008394781791586,-0.31766301413977976,-0.005984642270586649,0.0,0.0
southeastern,Southeastern Asset Management (Longleaf),Mason Hawkins,Concentrated long / value,fund,124,2016-04,2026-07,-0.048628142025088625,0.02682643014862386,-1.8126952321154495,0.08802263841178931,1.0156022644321863,0.4441269085907072,0.4320556740332557,0.3572521525318252,-0.02121912434937284,0.02,-0.005984642270586649,-0.5524504025611622,-0.24106439811659697,-0.005984642270586649,0.0,0.0
pzena,Pzena Investment Management,Rich Pzena,Concentrated long / value,fund,154,2013-10,2026-07,-0.0322731183406855,0.016048922254505087,-2.0109212213066905,0.060749512804413416,1.1352040869825104,0.18555758080609921,0.7061487069867834,0.6083021945496276,-0.02197597995539315,0.02,-0.005984642270586649,-0.5312490067959997,-0.36174742711346664,-0.005984642270586649,0.0,0.0
valinor,Valinor Management,David Gallo,Long/short equity,fund,77,2014-04,2020-08,-0.060165126831033505,0.030517269490515822,-1.9715108145481912,0.0831303394803262,1.1460749688151113,0.1821852434089089,-0.23411494011379455,0.30045735532469103,-0.022263567371828767,0.02,-0.005984642270586649,-0.7237445102130529,-0.26781518650116554,-0.005984642270586649,0.0,0.0
senator,Senator Investment Group,Doug Silverman,Event-driven / credit,fund,145,2014-07,2026-07,-0.044858733323767865,0.018514374949114256,-2.4229137330889987,0.06204300899371957,1.0734287846590937,0.059130020784856165,-0.1167995140172541,0.5385159536040344,-0.026918960484580593,0.02,-0.005984642270586649,-0.7230263981604886,-0.43387580520644187,-0.005984642270586649,0.0,0.0
