statement_id,account_id,custodian,period_start,period_end,ending_value,beginning_value,stated_deposits,stated_withdrawals,stated_income,stated_fees,stated_pnl,stated_return_pct,source_file,source_pages,notes
HITCHWOOD_2020-08,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-08-01,2020-08-31,2887684.73,,,,,,,,hedge13f,,priced coverage 92%
HITCHWOOD_2020-09,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-09-01,2020-09-30,2859804.13,,,,,,,,hedge13f,,priced coverage 90%
HITCHWOOD_2020-10,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-10-01,2020-10-31,2916795.0,,,,,,,,hedge13f,,priced coverage 90%
HITCHWOOD_2020-11,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-11-01,2020-11-30,3314221.78,,,,,,,,hedge13f,,priced coverage 90%
HITCHWOOD_2020-12,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2020-12-01,2020-12-31,3588608.81,,,,,,,,hedge13f,,priced coverage 90%
HITCHWOOD_2021-01,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-01-01,2021-01-31,3661185.2,,,,,,,,hedge13f,,priced coverage 90%
HITCHWOOD_2021-02,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-02-01,2021-02-28,3697623.87,,,,,,,,hedge13f,,priced coverage 90%
HITCHWOOD_2021-03,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-03-01,2021-03-31,3432131.76,,,,,,,,hedge13f,,priced coverage 94%
HITCHWOOD_2021-04,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-04-01,2021-04-30,3630355.78,,,,,,,,hedge13f,,priced coverage 94%
HITCHWOOD_2021-05,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-05-01,2021-05-31,3491397.06,,,,,,,,hedge13f,,priced coverage 94%
HITCHWOOD_2021-06,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-06-01,2021-06-30,3791185.64,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2021-07,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-07-01,2021-07-31,3731664.9,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2021-08,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-08-01,2021-08-31,3841382.8,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2021-09,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-09-01,2021-09-30,3605609.69,,,,,,,,hedge13f,,priced coverage 98%
HITCHWOOD_2021-10,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-10-01,2021-10-31,3809600.31,,,,,,,,hedge13f,,priced coverage 98%
HITCHWOOD_2021-11,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-11-01,2021-11-30,3410605.17,,,,,,,,hedge13f,,priced coverage 98%
HITCHWOOD_2021-12,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2021-12-01,2021-12-31,3154604.21,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2022-01,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-01-01,2022-01-31,2499783.8,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2022-02,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-02-01,2022-02-28,2428482.27,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2022-03,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-03-01,2022-03-31,2457415.44,,,,,,,,hedge13f,,priced coverage 100%
HITCHWOOD_2022-04,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-04-01,2022-04-30,1948305.35,,,,,,,,hedge13f,,priced coverage 100%
HITCHWOOD_2022-05,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-05-01,2022-05-31,1759553.62,,,,,,,,hedge13f,,priced coverage 100%
HITCHWOOD_2022-06,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-06-01,2022-06-30,1594054.78,,,,,,,,hedge13f,,priced coverage 100%
HITCHWOOD_2022-07,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-07-01,2022-07-31,1854879.38,,,,,,,,hedge13f,,priced coverage 100%
HITCHWOOD_2022-08,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-08-01,2022-08-31,1752856.42,,,,,,,,hedge13f,,priced coverage 100%
HITCHWOOD_2022-09,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-09-01,2022-09-30,1601922.57,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2022-10,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-10-01,2022-10-31,1596033.85,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2022-11,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-11-01,2022-11-30,1616712.91,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2022-12,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2022-12-01,2022-12-31,1411818.44,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2023-01,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2023-01-01,2023-01-31,1631551.64,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2023-02,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2023-02-01,2023-02-28,1648785.07,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2023-03,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2023-03-01,2023-03-31,1733241.03,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2023-04,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2023-04-01,2023-04-30,1733558.29,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2023-05,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2023-05-01,2023-05-31,1828674.09,,,,,,,,hedge13f,,priced coverage 99%
HITCHWOOD_2023-06,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2023-06-01,2023-06-30,2012727.97,,,,,,,,hedge13f,,priced coverage 100%
HITCHWOOD_2023-07,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2023-07-01,2023-07-31,2138725.16,,,,,,,,hedge13f,,priced coverage 100%
HITCHWOOD_2023-08,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2023-08-01,2023-08-31,2086756.08,,,,,,,,hedge13f,,priced coverage 100%
HITCHWOOD_2023-09,HITCHWOOD,Disclosed holdings (SEC EDGAR + Yahoo Finance),2023-09-01,2023-09-30,1995416.21,,,,,,,,hedge13f,,priced coverage 100%
