formation,model,n,auc,base_rate,risky,safe,spread
2024-11-30,persist,63,0.5473790322580645,0.5079365079365079,-0.03785588136291277,0.09991029377489051,-0.1377661751378033
2025-02-28,persist,63,0.5239085239085239,0.5873015873015873,-0.04884637296890651,0.052388597261165556,-0.10123497023007207
2025-05-31,persist,63,0.42282608695652174,0.6349206349206349,-0.013240212991933632,-0.042879752971835224,0.02963953997990159
2018-05-31,logistic,49,0.5551724137931034,0.40816326530612246,-0.04131027542479338,0.04891776177258856,-0.09022803719738194
2018-08-31,logistic,50,0.7232597623089984,0.38,-0.05485108262133831,0.08815343281638344,-0.14300451543772175
2018-11-30,logistic,50,0.7830882352941176,0.32,-0.028877026543327234,0.0960565199644703,-0.12493354650779753
2019-02-28,logistic,52,0.6638655462184874,0.3269230769230769,-0.001760679079139483,0.03936753201244668,-0.04112821109158616
2019-05-31,logistic,54,0.39697802197802196,0.48148148148148145,0.1132569193469733,-0.021849061839550144,0.13510598118652345
2019-08-31,logistic,54,0.2403846153846154,0.48148148148148145,0.32769182365189037,-0.08953855484325213,0.4172303784951425
2019-11-30,logistic,54,0.22252747252747251,0.48148148148148145,0.4790637009436415,-0.07268832022961276,0.5517520211732543
2020-02-29,logistic,56,0.34610472541507026,0.48214285714285715,0.385657246272287,-0.02327639969890913,0.40893364597119614
2020-05-31,logistic,57,0.5703324808184144,0.40350877192982454,0.039696069164909746,0.17153069980166946,-0.1318346306367597
2020-08-31,logistic,58,0.5476190476190477,0.4827586206896552,-0.005006490376293078,-0.020865660126252874,0.015859169749959795
2020-11-30,logistic,58,0.4251012145748988,0.6724137931034483,-0.052463838761028954,-0.05351117324925658,0.001047334488227629
2021-02-28,logistic,59,0.3217948717948718,0.6610169491525424,-0.020218863209940142,-0.10284370897412419,0.08262484576418405
2021-05-31,logistic,61,0.3088235294117647,0.7213114754098361,-0.017152212882191608,-0.2500675013207607,0.23291528843856912
2021-08-31,logistic,65,0.18993135011441648,0.7076923076923077,0.03910826243242461,-0.20778697956337464,0.24689524199579924
2021-11-30,logistic,64,0.23753976670201485,0.640625,0.06750591305467425,-0.21986726239952833,0.2873731754542026
2022-02-28,logistic,64,0.2676923076923077,0.609375,0.0602480767551545,-0.18822920622684414,0.24847728298199864
2022-05-31,logistic,65,0.6574952561669829,0.5230769230769231,-0.04106527321114511,0.03553935162109674,-0.07660462483224184
2022-08-31,logistic,66,0.4182330827067669,0.42424242424242425,0.004256341809496798,-0.01484776167481298,0.019104103484309777
2022-11-30,logistic,65,0.7181467181467182,0.4307692307692308,-0.015916394167212914,0.15790844476549032,-0.17382483893270323
2023-02-28,logistic,64,0.6334975369458128,0.453125,-0.04298818905592353,0.12097118416778264,-0.16395937322370618
2023-05-31,logistic,63,0.5197505197505198,0.4126984126984127,0.05118047769167789,0.06630366281398563,-0.015123185122307738
2023-08-31,logistic,62,0.593521421107628,0.532258064516129,-0.03436805451036761,0.03342337715590714,-0.06779143166627474
2023-11-30,logistic,62,0.7658688865764828,0.5,-0.05414934719625297,0.11793454246242409,-0.17208388965867705
2024-02-29,logistic,62,0.6296296296296297,0.5645161290322581,-0.03058905158402167,0.036680825757126057,-0.06726987734114773
2024-05-31,logistic,62,0.601890756302521,0.45161290322580644,0.010315105666609864,0.11823605942859278,-0.10792095376198291
2024-08-31,logistic,63,0.6265306122448979,0.4444444444444444,0.025379025358451955,0.20446590359395028,-0.17908687823549832
2024-11-30,logistic,63,0.501008064516129,0.5079365079365079,0.02174933332590381,0.05553196100102709,-0.033782627675123286
2025-02-28,logistic,63,0.47713097713097713,0.5873015873015873,0.07099858133708217,-0.014397184748834481,0.08539576608591665
2025-05-31,logistic,63,0.358695652173913,0.6349206349206349,0.09283138161112237,-0.12136650889888599,0.21419789051000837
