slug,name,manager,style_name,period,n_positions,hhi,top1_w,top10_w,turnover,new_frac,sold_frac,book_growth,crowding,excess_12,excess_36,vol_12,mdd_12,alpha36_t,p_persist,p_logistic,p_xgboost,rank_xgboost,rank_logistic,rank_persist
atreides,Atreides Management,Gavin Baker,Long/short equity,2026-03-31,3.9318256327243257,0.03914447204447779,0.08987073110558338,0.5339293958210654,0.3142341468173818,0.29411764705882354,0.2653061224489796,-0.13827020345961927,11.219893726410058,0.730052188107299,1.2975356534008913,0.30776694421057044,-0.09193151263476762,1.9924122086280496,0.014925373134328358,0.7022975404234396,0.6261698007583618,11,6,67
steadfast,Steadfast Capital,Robert Pitts,Long/short equity,2026-03-31,4.204692619390966,0.03698324625905443,0.10966077179468194,0.477410898507658,0.5417124783279781,0.43283582089552236,0.7121212121212122,-0.7671372095703125,9.693831560963671,-0.24317524408432914,-0.09013899385570712,0.1422799513725021,-0.12476960491521494,-0.798136736845043,0.8656716417910447,0.4588227236535644,0.6149070858955383,12,48,10
harris,Harris Associates (Oakmark),Bill Nygren,Concentrated long / value,2026-03-31,5.049856007249537,0.018319126390402705,0.03718977247015236,0.30909032090504046,0.1198717842142436,0.09615384615384616,0.15568862275449102,-0.051193703524057034,8.85124324489211,-0.16476448783109213,-0.3080251201723587,0.08851865524167711,-0.0515646035321885,-2.8698344477155633,0.7164179104477612,0.7287638931113789,0.6010888814926147,13,3,20
darsana,Darsana Capital,Anand Desai,Concentrated long / value,2026-03-31,2.6390573296152584,0.09215576552115186,0.17447877205421825,0.8578118477292592,0.13047507147036175,0.0,0.125,-0.06607440064205759,7.4222291308189945,0.021480354416783864,0.508039612783767,0.1904682195743958,-0.06677190263255628,1.6256338143678666,0.29850746268656714,0.5971376908997289,0.6009399890899658,14,15,48
southeastern,Southeastern Asset Management (Longleaf),Mason Hawkins,Concentrated long / value,2026-03-31,3.8918202981106265,0.05165861060498137,0.10917384429099752,0.6265662686742423,0.154552433023314,0.0,0.07547169811320754,-0.0993814301493178,3.82511037756082,-0.1478878589588682,-0.3492701439871887,0.11750358490605714,-0.058976667184972964,-1.0345100717843232,0.7014925373134329,0.5602263275771008,0.5962311029434204,15,23,21
fairfax-13f,Fairfax Financial (disclosed holdings),Prem Watsa,Concentrated long / value,2026-03-31,3.367295829986474,0.11881895794514266,0.2581907727767226,0.8802744759244235,0.17662418212872366,0.06896551724137931,0.06896551724137931,-0.06994250050756229,4.415327874032714,0.19082406132642676,,0.18984217050586874,-0.06229022054907529,,0.16417910447761194,0.5677249942635954,0.5939523577690125,16,21,57
pzena,Pzena Investment Management,Rich Pzena,Concentrated long / value,2026-03-31,5.062595033026967,0.02346249345584633,0.06389820113662432,0.35699337886836047,0.08767388498917039,0.056962025316455694,0.050955414012738856,-0.08125868616016048,5.382464812476852,-0.13000201104401346,-0.38450966189529834,0.1507064500256018,-0.0607549391562594,-3.8147068653465346,0.6268656716417911,0.7932629056078916,0.5937255620956421,17,2,26
soros,Soros Fund Management,Soros family office,Family office,2026-03-31,5.521460917862246,0.014405282691068522,0.055566750550616203,0.27825703633171556,0.44565667182993607,0.452,0.4017467248908297,-0.02244924219740182,8.911056212936959,-0.07869619289622634,-0.29891820267842506,0.15015812872736406,-0.08262630065536825,-2.4425036938096607,0.5074626865671642,0.575224181349441,0.5879377126693726,18,18,34
third-avenue,Third Avenue Management,Marty Whitman legacy,Concentrated long / value,2026-03-31,3.970291913552122,0.04333272725232973,0.12493532258439782,0.5342973607686093,0.21494422977507244,0.11320754716981132,0.0784313725490196,0.11299680823121556,3.5677623799381912,0.10090471657816147,0.02575306227562546,0.15734534584871412,-0.036397889382198345,0.4133404307738229,0.23880597014925373,0.5746816300684902,0.5797022581100464,19,19,52
marshall-wace,Marshall Wace,Paul Marshall / Ian Wace,Long/short equity,2026-03-31,7.893572073504902,0.038799854458304084,0.18377888657864566,0.34138960621680015,0.35206623697101314,0.2809701492537313,0.23440603893524037,-0.10548366933386226,7.950192582485382,-0.033340057414676216,0.048562274007217354,0.1594070966069173,-0.10010710651167243,0.06430401737189995,0.43283582089552236,0.5277311791732023,0.5779601335525513,20,32,39
