formation,managers,n_ALL,priced_ALL,n_BEST1,priced_BEST1,n_BEST3,priced_BEST3,n_CROWD_LO,priced_CROWD_LO,n_CROWD_HI,priced_CROWD_HI,turnover_ALL,turnover_BEST1,turnover_BEST3,turnover_CROWD_LO,turnover_CROWD_HI,n_NEW,priced_NEW,n_ADD,priced_ADD,n_CUT,priced_CUT,n_SOLD,priced_SOLD,turnover_NEW,turnover_ADD,turnover_CUT,turnover_SOLD
2016-02-29,82,1256,0.9713843774168602,45,0.96875,108,0.9731182795698924,254,0.9806949806949806,249,0.9651162790697674,0.1288203693564549,0.32654657777181195,0.27424357915959985,0.4803388185042059,0.1950243437087218,561.0,0.9613319011815253,420.0,0.9627906976744186,423.0,0.9675213675213676,560.0,0.9719626168224298,0.6632643015492139,0.5380940511762686,0.5929003826491607,0.6016916443123653
2016-05-31,81,1272,0.976958525345622,43,0.9836065573770493,111,0.9672131147540987,256,0.9808429118773944,250,0.9615384615384616,0.12336986553020995,0.2993482540073849,0.2928863926402153,0.5231237328103084,0.19794738926545272,638.0,0.9771598808341608,440.0,0.9599406528189911,487.0,0.9755395683453236,576.0,0.9723698193411263,0.6500992879608033,0.5814557251868802,0.5868673362882268,0.6158359369260897
2016-08-31,81,1269,0.977657935285054,47,0.9523809523809521,116,0.9581151832460734,254,0.9769230769230769,251,0.9691119691119691,0.11569895189150825,0.37446460799149434,0.24939129316204728,0.48265671802098553,0.1901970515229996,546.0,0.9693757361601885,453.0,0.9756838905775076,433.0,0.9668874172185433,605.0,0.9661733615221988,0.6449177237200674,0.5305662153651698,0.5486306323255977,0.6188787513852866
2016-11-30,79,1303,0.978963185574756,49,0.9682539682539681,113,0.9583333333333331,264,0.9887640449438202,259,0.9736842105263157,0.12191508089948518,0.30179337189664784,0.2395966459332225,0.4905712600853135,0.22545331734887605,605.0,0.9741200828157348,453.0,0.9746434231378764,431.0,0.9802955665024632,560.0,0.9723270440251572,0.6548797421474205,0.559354150440237,0.5669175929773184,0.6542381744727802
2017-02-28,80,1313,0.9805825242718449,50,0.9705882352941175,117,0.9597989949748743,263,0.9813432835820894,260,0.9737827715355807,0.10200302364262095,0.25151970868920465,0.2645399998958383,0.44992274624136064,0.17085649600765165,607.0,0.9757575757575756,490.0,0.9739010989010988,490.0,0.9799713876967096,566.0,0.9690721649484536,0.6383874172890073,0.5283652430084869,0.565771892898928,0.6303319821156462
2017-05-31,80,1372,0.9807005003573981,56,0.9852941176470589,117,0.9538461538461538,275,0.9821428571428572,272,0.9749103942652328,0.13001603516997493,0.3030934731234772,0.23247018409562414,0.5178542371204897,0.17535320944149993,704.0,0.9777382012466608,553.0,0.9652173913043478,444.0,0.9796875000000002,596.0,0.9748908296943231,0.6300139048045452,0.5369860010240888,0.5572597718664143,0.6168129138327478
2017-08-31,80,1431,0.9801369863013696,50,0.9848484848484849,113,0.9689119170984456,289,0.9897260273972602,285,0.976027397260274,0.11436699799975844,0.3414866056221378,0.21502910299660524,0.5155394956203387,0.1823415039877478,705.0,0.9731800766283525,545.0,0.96969696969697,550.0,0.9793187347931873,607.0,0.9789823008849557,0.6377311133435168,0.5684082757634346,0.5548986128001809,0.6388548315125175
2017-11-30,80,1446,0.9803389830508473,49,0.9705882352941175,110,0.9641025641025639,292,0.989830508474576,290,0.9830508474576269,0.11538594397406993,0.2770193897173592,0.23703994184804741,0.5260978201637143,0.18058963509028075,653.0,0.9821052631578946,560.0,0.9827586206896552,508.0,0.9798850574712643,632.0,0.9745856353591161,0.6537581627753027,0.5731347049126757,0.5467724563761451,0.6410976030110459
2018-02-28,80,1502,0.9810581319399089,51,0.9848484848484849,122,0.969543147208122,303,0.9869706840390882,299,0.9771241830065358,0.12849540196338693,0.31517833501869036,0.18528033546916767,0.542529166416849,0.19916928271212314,755.0,0.9747899159663869,583.0,0.9822695035460993,532.0,0.9773936170212765,661.0,0.9726166328600405,0.6587858841006102,0.5093792885402169,0.5444343597987387,0.6521468350168589
2018-05-31,79,1553,0.9798107255520504,43,0.984375,116,0.984455958549223,310,0.9779179810725552,312,0.9842271293375395,0.1289023493992451,0.22294950841522945,0.24136235236514347,0.5472206532785436,0.20273550431587337,813.0,0.9812500000000002,733.0,0.989935956084172,561.0,0.9752281616688397,718.0,0.9730941704035875,0.6396497953789522,0.536212046066735,0.5628512875211085,0.6628202648175867
