slug,name,manager,cells,factor_set,quantities,max_abs_diff,max_rel_diff,agree,worst_quantity,ff3_alpha_r,ff3_alpha_python,ff3_t_r,ff3_t_python,score_r,score_python
himalaya,Himalaya Capital,Li Lu,65,US,51,8.50548798059236e-13,1.59247167146621e-11,True,t_alpha (Carhart4),-0.0138064140364952,-0.0138064140364952,-0.242306647209057,-0.242306647209056,50.2538227971762,50.2538227971762
hitchwood,Hitchwood Capital,James Crichton,90,US,51,2.42694753183059e-13,7.51664377673867e-13,True,t_alpha (FF5),-0.0424386949083798,-0.0424386949083805,-1.13445889169461,-1.13445889169463,23.9957091190987,23.9957091190985
hound,Hound Partners,Jonathan Auerbach,92,US,51,2.24265050974282e-13,3.56696736767321e-13,True,t_alpha (FF5),-0.0440213451076818,-0.0440213451076818,-1.10427492927238,-1.10427492927238,15.6474773211061,15.6474773211061
icahn,Icahn Enterprises / Icahn Capital,Carl Icahn,140,US,51,3.41948691584548e-14,6.29387335108161e-14,True,t_alpha (FF5),-0.0783758194475939,-0.0783758194475938,-1.32906792860865,-1.32906792860865,0.0,0.0
impactive,Impactive Capital,Lauren Taylor Wolfe,74,US,51,3.65402152979755e-14,3.34829321758011e-13,True,t_alpha (FF5),-0.0013976178763289,-0.0013976178763287,-0.0283706537544935,-0.0283706537544881,70.1417011606604,70.1417011606604
jane-street,Jane Street,market maker,146,US,51,1.17905685215192e-13,5.48386922388564e-12,True,t_alpha (FF5),-0.0352790356977687,-0.0352790356977687,-1.90686416581164,-1.90686416581164,5.05752412350242,5.05752412350242
kingdon,Kingdon Capital,Mark Kingdon,62,US,51,8.87734330490275e-13,6.70872027245607e-12,True,t_alpha (Carhart4),0.0114319928666184,0.0114319928666186,0.25391962292584,0.253919622925844,45.9996232010453,45.9996232010453
lansdowne,Lansdowne Partners,Peter Davies,146,US,51,7.371880883511041e-14,1.33998194396075e-12,True,t_alpha (FF5),0.003748401991119,0.003748401991119,0.105121576890501,0.105121576890498,72.8588530019542,72.8588530019542
light-street,Light Street Capital,Glen Kacher,74,US,51,2.27373675443232e-13,6.25834709052164e-13,True,alpha-maxing score,0.0205230905676054,0.020523090567606,0.370492235176271,0.37049223517628,84.2988549246302,84.2988549246299
lone-pine,Lone Pine Capital,Stephen Mandel,149,US,51,7.760719150651241e-14,1.7800616592903398e-11,True,t_alpha (FF5),-0.006521148058915,-0.0065211480589147,-0.225787846064997,-0.225787846064986,44.786183124597,44.786183124597
man-group,Man Group,Man AHL / Numeric (quant),98,US,51,6.51922960059892e-13,1.20798181433231e-12,True,t_alpha (FF5),-0.0137880070336451,-0.0137880070336452,-1.30345237041936,-1.30345237041937,38.4473863691425,38.4473863691425
markel-13f,Markel (13F holdings),Tom Gayner,155,US,51,4.47641923528863e-13,1.0547902922038399e-12,True,alpha-maxing score,0.003652593561055,0.003652593561055,0.329950264306771,0.329950264306768,52.4466215997587,52.4466215997583
marshall-wace,Marshall Wace,Paul Marshall / Ian Wace,155,US,51,2.27373675443232e-13,2.69344752788015e-13,True,alpha-maxing score,0.0126757733325207,0.0126757733325209,1.21713713148937,1.21713713148939,65.9376821771344,65.9376821771342
matrix,Matrix Capital,David Goel,116,US,51,1.44051437445114e-13,3.8487256125095497e-13,True,t_alpha (FF5),-0.0144375353119367,-0.0144375353119367,-0.355592497860997,-0.355592497860995,51.1812621380081,51.1812621380081
maverick,Maverick Capital,Lee Ainslie,125,US,51,1.00142116821189e-13,1.4413615584780699e-13,True,t_alpha (FF5),-0.0262774350384112,-0.0262774350384113,-0.748600622287714,-0.748600622287716,7.61728705369143,7.61728705369143
melvin,Melvin Capital (closed 2022),Gabe Plotkin,90,US,51,2.27373675443232e-13,1.15196654404635e-12,True,alpha-maxing score,-0.0111216671020755,-0.0111216671020755,-0.388395123488757,-0.388395123488756,41.9306911677368,41.930691167737
millennium,Millennium Management,Israel Englander,125,US,51,2.28039809258007e-13,3.55549180935798e-13,True,t_alpha (FF5),-0.01177235474726,-0.0117723547472601,-1.0636514489989,-1.06365144899892,41.5243042491424,41.5243042491424
moore,Moore Capital,Louis Bacon,110,US,51,2.12774242669411e-13,6.16192472411005e-13,True,t_alpha (FF5),-0.011858222819011,-0.0118582228190101,-0.488497539831394,-0.488497539831357,30.3790832442376,30.3790832442376
